word	level	grade	pos	meaning	meaningAlt	synonyms	tags	freq	example	exampleKo	image
purpose	7	middle_1	noun	목적			thought|society	high	The purpose of this test is simple.	이 시험의 목적은 간단하다.
goal	7	middle_1	noun	목표			thought|study	high	My goal is to read ten books.	내 목표는 책 열 권을 읽는 것이다.
method	7	middle_1	noun	방법			thought|study	high	This method is easy for children.	이 방법은 아이들에게 쉽다.
system	7	middle_1	noun	체계			thought|society	mid	Our school has a new system.	우리 학교는 새 체계를 가지고 있다.
process	7	middle_1	noun	과정			thought|study	mid	The process takes a long time.	그 과정은 오랜 시간이 걸린다.
pattern	7	middle_1	noun	양식			thought|quality	mid	This pattern repeats every week.	이 양식은 매주 반복된다.
amount	7	middle_1	noun	양(수량)			quantity	mid	A small amount of salt is enough.	적은 양의 소금이면 충분하다.
degree	7	middle_1	noun	정도			quantity	mid	The degree of danger is low.	위험의 정도가 낮다.
value	7	middle_1	noun	가치			thought|society	high	The value of this idea is high.	이 생각의 가치는 높다.
quality	7	middle_1	noun	품질			quality|society	mid	The quality of this bread is good.	이 빵의 품질은 좋다.
condition	7	middle_1	noun	상태			quality|health	mid	The condition of the old bridge is bad.	오래된 다리의 상태가 나쁘다.
situation	7	middle_1	noun	상황			thought|society	mid	The situation is difficult for us.	그 상황은 우리에게 어렵다.
position	7	middle_1	noun	위치			place|quantity	mid	Draw the position of the moon.	달의 위치를 그려라.
direction	7	middle_1	noun	방향			place|motion	high	Follow the direction of the river.	강의 방향을 따라가라.
distance	7	middle_1	noun	거리			quantity|place	mid	The distance to the village is short.	마을까지의 거리는 짧다.
speed	7	middle_1	noun	속도			quantity|speed	high	The speed of this train is high.	이 기차의 속도는 빠르다.
weight	7	middle_1	noun	무게			quantity	mid	The weight of the box is heavy.	그 상자의 무게는 무겁다.
height	7	middle_1	noun	높이			quantity|size	mid	Measure the height of the tree.	나무의 높이를 재라.
length	7	middle_1	noun	길이			quantity|size	mid	The length of the river is long.	그 강의 길이는 길다.
width	7	middle_1	noun	너비			quantity|size	mid	Measure the width of the window.	창문의 너비를 재라.
shape	7	middle_1	noun	모양			quality|size	high	The shape of this leaf is round.	이 잎의 모양은 둥글다.
size	7	middle_1	noun	크기			size|quantity	high	The size of my shoes is small.	내 신발의 크기는 작다.
level	7	middle_1	noun	수준			study|quantity	mid	This book is for my level.	이 책은 내 수준에 맞다.
consider	7	middle_1	verb	고려하다			thought	mid	Please consider my opinion.	제 의견을 고려해 주세요.
suggest	7	middle_1	verb	제안하다			speech	mid	I suggest a new plan for us.	나는 우리를 위한 새 계획을 제안한다.
discuss	7	middle_1	verb	논의하다			speech|school	mid	We discuss the problem in class.	우리는 수업에서 그 문제를 논의한다.
argue	7	middle_1	verb	다투다			speech|emotion	mid	They argue about small things.	그들은 작은 일로 다툰다.
mention	7	middle_1	verb	언급하다			speech	mid	She mentioned your name today.	그녀가 오늘 네 이름을 언급했다.
announce	7	middle_1	verb	알리다			speech	mid	The teacher announced the test result.	선생님이 시험 결과를 알렸다.
report	7	middle_1	verb	보고하다			speech|school	mid	Report the news to your teacher.	그 소식을 선생님께 보고해라.
advise	7	middle_1	verb	조언하다			speech	mid	The doctor advised more exercise.	의사가 운동을 더 하라고 조언했다.
warn	7	middle_1	verb	경고하다			speech|safety	mid	The sign warns about the deep water.	그 표지는 깊은 물에 대해 경고한다.
complain	7	middle_1	verb	불평하다			speech|emotion	mid	He complains about the cold weather.	그는 추운 날씨에 대해 불평한다.
apologize	7	middle_1	verb	사과하다			speech|society	mid	I apologize for my mistake.	나는 내 실수를 사과한다.
thank	7	middle_1	verb	감사하다			speech|society	high	I thank my parents every day.	나는 매일 부모님께 감사한다.
praise	7	middle_1	verb	칭찬하다			speech|emotion	mid	The teacher praised my essay.	선생님이 내 글짓기를 칭찬했다.
blame	7	middle_1	verb	비난하다			speech|emotion	mid	Do not blame your classmate.	네 반 친구를 비난하지 마라.
admit	7	middle_1	verb	인정하다			speech|thought	mid	He admitted his own mistake.	그는 자기 실수를 인정했다.
deny	7	middle_1	verb	부인하다			speech|thought	mid	She denied the whole story.	그녀는 그 이야기 전체를 부인했다.
doubt	7	middle_1	verb	의심하다			thought	mid	I doubt his answer.	나는 그의 답을 의심한다.
realize	7	middle_1	verb	깨닫다			thought	mid	I realized my mistake too late.	나는 너무 늦게 내 실수를 깨달았다.
notice	7	middle_1	verb	알아차리다			thought	high	Did you notice the new curtain?	새 커튼을 알아차렸니?
recognize	7	middle_1	verb	알아보다			thought	mid	I recognize your voice.	나는 네 목소리를 알아본다.
